Date,Publications,Experiments
2004-02-01,130,331
2004-03-01,144,359
2004-04-01,191,444
2004-05-01,208,473
2004-06-01,232,531
2004-07-01,264,608
2004-08-01,293,670
2004-09-01,323,752
2004-10-01,351,818
2004-11-01,388,895
2004-12-01,427,972
2005-01-01,442,1013
2005-02-01,463,1067
2005-03-01,524,1219
2005-04-01,607,1389
2005-05-01,687,1604
2005-06-01,724,1709
2005-07-01,799,1918
2005-08-01,855,2099
2005-09-02,902,2244
2005-10-01,929,2418
2005-11-01,966,2532
2005-12-01,1021,2700
2006-01-01,1054,2792
2006-02-07,1074,2869
2006-03-06,1137,3047
2006-03-13,1138,3597
2006-04-02,1205,3743
2006-05-09,1239,3843
2006-05-26,1240,3845
2006-06-02,1258,3893
2006-07-07,1313,4056
2006-08-18,1376,4173
2006-09-01,1409,4248
2006-09-08,1419,4283
2006-09-15,1423,4292
2006-09-22,1889,4782
2006-09-29,1913,4844
2006-10-06,1923,4871
2006-10-13,1969,5044
2006-10-26,2129,5555
2006-11-03,2149,5605
2006-11-10,2154,5624
2006-11-17,2196,5750
2006-11-24,2234,5862
2006-12-04,2256,5928
2006-12-08,2258,5931
2006-12-16,2277,5992
2007-01-12,2291,6035
2007-01-19,2293,6038
2007-01-26,2303,6076
2007-02-02,2306,6084
2007-02-09,2321,6137
2007-02-16,2338,6187
2007-02-23,2348,6221
2007-03-09,2386,6343
2007-03-16,2393,6369
2007-03-23,2412,6421
2007-03-30,2425,6458
2007-04-13,2446,6514
2007-04-20,2453,6541
2007-04-27,2458,6553
2007-05-04,2474,6609
2007-05-14,2490,6655
2007-05-18,2499,6679
2007-05-25,2508,6700
2007-06-08,2512,6714
2007-06-15,2527,6757
2007-06-22,2533,6780
2007-07-08,2555,6844
2007-07-13,2561,6861
2007-07-20,2575,6893
2007-07-27,2597,6948
2007-08-24,2630,7051
2007-08-31,2643,7084
2007-09-07,2653,7121
2007-09-14,2655,7128
2007-09-24,2702,7257
2007-09-28,2731,7337
