Date,Publications,Experiments
2007-10-12,2772,7484
2007-10-19,2787,7531
2007-10-26,2799,7561
2007-11-16,2838,7652
2007-11-23,2872,7745
2007-11-30,2893,7818
2007-12-07,2917,7883
2007-12-14,2950,7966
2008-01-04,2982,8059
2008-01-25,3028,8202
2008-02-08,3064,8330
2008-02-15,3073,8364
2008-02-25,3107,8456
2008-02-29,3113,8473
2008-03-14,3127,8509
2008-03-28,3145,8561
2008-04-11,3155,8591
2008-05-03,3187,8701
2008-05-16,3217,8798
2008-05-23,3229,8834
2008-05-30,3232,8842
2008-06-06,3245,8884
2008-06-13,3257,8909
2008-06-20,3262,8928
2008-06-27,3270,8943
2008-07-04,3277,8964
2008-07-11,3296,9027
2008-07-25,3325,9095
2008-08-22,3381,9271
2008-10-03,3477,9569
2008-10-17,3511,9716
2008-10-31,3533,9784
2008-11-07,3551,9835
2008-11-28,3608,10012
2008-12-12,3645,10130
2009-01-09,3685,10226
2009-01-16,3694,10253
2009-01-23,3727,10374
2009-02-06,3747,10437
2009-02-20,3774,10536
2009-03-06,3801,10630
2009-04-03,3830,10707
2009-04-17,3842,10734
2009-05-05,3855,10771
2009-05-15,3869,10816
2009-06-01,3879,10855
2009-06-12,3896,10918
2009-06-19,3897,10919
2009-07-10,3907,10955
2009-07-17,3922,11006
2009-07-31,3935,11062
2009-08-21,3967,11172
2009-09-04,3999,11254
2009-09-18,4017,11323
2009-10-09,4052,11446
2009-10-30,4080,11538
2009-11-27,4105,11628
2010-01-01,4130,11701
2010-01-15,4160,11794
2010-01-22,4171,11834
2010-02-12,4213,11970
2010-03-19,4246,12097
2010-04-23,4288,12274
2010-05-07,4306,12350
2010-05-24,4315,12393
2010-06-18,4330,12441
2010-07-23,4356,12563
2010-07-30,4363,12578
2010-08-05,4372,12601
2010-08-18,4385,12634
2010-09-03,4396,12674
2010-10-07,4443,12839
2010-11-03,4460,12888
2010-11-11,4461,12890
2010-12-03,4483,12979
2010-12-15,4516,13086
2011-01-10,4522,13115
2011-02-01,4546,13187
2011-02-22,4565,13242
2011-03-03,4577,13271
2011-04-01,4626,13415
2011-04-19,4716,13684
2011-06-17,4750,13806
2011-07-27,4841,14117
2011-08-18,4861,14182
2011-09-14,4931,14486
2011-10-03,4975,14670
2011-10-28,5022,14867
2011-11-21,5079,15102
2012-01-09,5143,15316
2012-02-11,5214,15594
2012-03-21,5278,15839
2012-05-01,5307,15955
2012-06-15,5399,16313
2012-07-19,5445,16488
2012-08-20,5546,16879
2012-10-11,5620,17123
2012-11-13,5641,17208
2012-11-14,5696,17403
2012-12-17,5913,17881
2013-02-01,6084,18223
2013-02-28,6240,18607
2013-03-27,6279,18730
2013-04-13,6293,18764
2013-05-03,6316,18828
2013-06-10,6388,19108
2013-06-19,6407,19158
2013-06-26,6423,19206
2013-08-02,6490,19453
2013-08-09,6524,19547
2013-09-02,11742,30769
2013-09-30,11882,31196
2013-10-11,11916,31309
2013-10-28,11982,31505
2013-11-22,12080,31801
2014-01-10,12241,32333
2014-02-18,12376,32716
2014-03-10,12458,32962
2014-03-31,12504,33080
2014-04-14,12515,33124
2014-05-01,12543,33220
2014-06-09,12676,33608
2014-07-21,12790,33924
2014-09-18,12909,34343
2014-10-20,12957,34485
2014-11-12,13004,34646
2014-12-22,13139,35109
2015-01-22,13202,35281
2015-02-25,13324,35680
2015-04-10,13405,35971
2015-06-15,13527,36359
2015-06-29,13545,36426
2015-08-25,13649,36748
2015-10-21,13734,36992
2015-12-02,13795,37180
2016-01-13,13845,37294
2016-01-19,13853,37310
2016-02-22,13916,37523
2016-04-11,13993,37793
2016-06-22,14087,38075
2016-07-13,14109,38129
2016-08-03,14140,38241
2016-09-13,14189,38432
2016-10-14,14246,38567
2016-12-19,14294,38736
2017-01-31,14338,38905
2017-03-13,14399,39105
2017-04-10,14427,39203
2017-06-08,14489,39398
2017-07-12,14530,39610
2017-08-31,19888,65608
2017-09-05,19896,65638
2017-11-14,19970,65888
2017-12-18,20013,66017
2018-02-14,20046,66122
2018-03-27,20095,66275
2018-05-16,20124,66373
2018-06-22,20178,66555
2018-08-08,20266,66822
2018-09-10,20295,66869
2018-10-08,20329,66955
2018-11-05,20361,67038
2018-12-04,20409,67174
2019-02-15,20494,67403
2019-03-25,20530,67494
2019-05-09,20566,67591
2019-07-22,20738,68167
2019-08-30,20802,68332
2019-10-03,20881,68557
2019-11-20,21003,68855
2019-12-19,21080,69101
2020-02-03,21152,69288
2020-03-13,21281,69643
2020-04-03,21341,69765
2020-05-04,21432,70051
2020-07-09,21631,70563
2020-09-28,21821,71029
2020-11-11,21917,71299
2020-12-23,22022,71562
2021-03-15,22214,71981
2021-05-18,22354,72352
2021-07-12,22483,72641
2021-10-18,22680,73163
2022-02-07,22841,73615
2022-07-15,22942,73932
2023-06-15,23158,74495
2023-10-09,23271,74862
2024-02-20,23357,75091
2024-05-31,23408,75222
2024-09-18,23459,75349
2024-12-10,23518,75525
2025-04-04,23609,75770
2025-08-28,23713,76001
2026-01-09,23886,76513
