P84587
Q9EPI0
Q5XID5
P50408
Q499R0
A1L1J6
Q2TGI8
Q5FVR1
Q99MA2
O54975
O08816
Q62981
Q6AXX3
Q8VIL3
Q5XID0
Q9JKT5
D3ZF92
Q5BK13
Q4KM93
P82458
Q791F6
Q496Z9
P30121
Q9WUD2
Q62768
Q5BJP3
P81828
Q64550
Q91Y78
Q2KJ09
D3ZHP7
Q9R1Z0
P51672
Q6IE41
Q6IE40
Q5GH61
Q7TMD5
Q3MHS2
P25961
Q675C0
Q569C0
Q67ES7
B6ID01
Q67ES5
Q67ET3
Q496Z2
Q6DGF8
Q9JHB5
Q32PZ3
P08430
Q5FVI6
Q5J3L7
Q6TEK3
D4A929
Q71LX6
O08781
Q6U6G5
Q2TGK3
Q8R515
Q5FWU5
Q5MYW4
Q6DGG0
P46002
Q6AYT0
M0RC99
Q9WVB1
P51400
Q5PQJ5
D3ZUQ0
Q7TP54
Q4FZU8
Q5BJP6
Q7TPA5
P08689
Q9Z1M9
Q5M9G6
Q0D2L3
P0DJJ3
Q62876
P07631
P50235
D4AE59
Q5HZE8
P52631
D4A2H2
Q7TT47
P30937
Q63638
Q9WUD9
D3ZH22
Q5M948
Q62807
Q923Y4
Q68FW7
Q923X9
P15242
Q68FQ0
P04143
Q6AY94
Q505J3
Q5J3E5
Q3T1I3
Q7TSF2
P62762
Q8VI02
Q62969
Q9ESQ7
P59382
P62902
P17078
P17702
P62890
P05765
Q5U2S0
Q63424
Q923Y9
Q5QD24
Q923Y7
Q5QD23
Q66H61
Q923Y5
Q6RI88
D3ZF42
A4V8B4
Q5PQK1
Q9JKE3
Q4V8G5
P23978
P61621
P28572
Q2A865
Q5HZY2
O35314
P10362
Q63627
Q6AYN2
Q8CJ99
Q9ES21
P56603
P10760
Q75N33
Q9Z0K6
Q71MB6
O35179
Q00910
Q3KRF1
Q925Q9
B0BNA1
Q68FU4
Q66H19
D4A208
P04177
Q63520
Q2TL32
P50475
D3ZG27
Q5RJK3
Q68FR5
Q9ESC2
Q6IRE4
Q9R186
Q9Z0J5
O35119
Q9JIP0
P49816
Q569C3
Q05474
Q5XIP4
P41542
O08587
P04182
Q6AYX5
P51489
O08658
Q6B4M5
O88628
P59996
Q62849
Q01129
Q62928
Q63941
P50170
Q811U3
P62824
Q9Z1Z9
P09527
Q63481
Q6P0K8
Q6P9U4
Q4KLN5
O54728
Q9R011
P70496
Q99P84
O88763
Q7TMB0
O08774
D3ZRC4
P63331
Q3B7L1
Q63625
F1M8G0
G3V686
Q9WTY2
Q8CIN9
Q6AXS4
P35815
Q63570
P20646
P18420
Q64605
Q6AXX6
P36370
P07825
Q67ET2
A1A5Q7
D3ZT37
P0DKR2
Q5PQR6
B4F7C4
B2RYI0
O55166
P26342
Q63467
Q3B7D3
B5DEL3
F1LW30
Q6X9T7
Q9QYG8
Q64637
Q9R085
Q6AXN0
Q5FVL0
P09118
Q5J3M9
B2RYF1
Q812D3
O70301
O88777
Q63798
P97887
Q62703
Q27W01
Q9QYJ2
Q71UF4
Q6PDV7
P62986
P62948
Q498D5
O88828
Q6SLE7
Q64380
Q1H5H1
Q3T1I9
P07153
D3ZXK7
P83565
Q6AXU4
O88420
P54921
Q5ZQU0
Q9JMD2
Q9JHB9
P02780
Q4V7G1
Q8R4V0
B7SBD2
Q11205
Q4V892
Q4L208
P26433
Q9R2C1
P26434
Q9Z0X2
Q76EQ0
Q99M76
Q7TNL4
Q6PDU1
Q63635
Q66H44
Q62753
Q5FVN2
Q9R050
A1A5R9
Q66H17
Q9R0K8
Q08013
Q5XIB9
Q6TEK4
Q4V7A0
F1M3J4
Q5KTC7
Q8VIJ5
P04089
P13085
O08617
Q642B3
Q7TNK7
Q7TNN9
O88298
D4ACP5
Q62639
Q6MFY5
Q4V7B8
Q8VHM6
Q4G069
Q6REY9
Q8VHE9
P47940
P02696
P49801
Q9JHX0
P18890
Q6AYA0
P62919
P62250
P0C606
A0JPP4
Q6AXY9
P30680
P16975
Q7TPJ0
Q5RKG1
O70608
Q7TP17
Q7TNK6
B5DF45
P48500
Q5XHZ0
Q5XIH6
Q5M826
Q9WV59
Q69BT7
P17431
Q9QX05
A2VCX1
P58775
Q6EIX2
Q6AYR4
P62074
Q641W7
Q9Z220
Q00788
Q5M9G7
Q9Z2L0
Q5GH57
B2RZ78
Q91XU1
E9PT37
Q53B90
P35231
Q9Z2P5
P41123
P27952
Q63175
Q5RKL7
Q5M819
B0K004
Q9JMD7
P45380
P61808
Q5U211
O35876
P57769
Q4JM44
Q01714
O55034
P30936
Q62740
Q5RKL5
P22006
Q63ZV7
P22831
Q7TQ79
F1LNJ2
Q5XIA3
Q63429
Q921A3
P0C6P6
P63149
Q5U203
Q62885
Q9EQX9
B5DFI8
B5DEI4
Q3B7D1
Q3T1H6
Q6P7A2
P25977
Q80W92
Q568Z0
A0JPP5
Q6AYM2
Q566R0
Q07258
Q3SWU0
Q9JKT8
P02767
P62076
Q6RI86
Q6QMY6
Q9JMI9
Q5XIB1
Q566D0
P09875
O08775
Q64612
Q3KR66
P83858
O55081
Q8N7M5
Q920A6
Q63507
Q9JIR3
P12749
P04646
Q5BJX1
P09367
A1A5P2
D4ACP2
Q499W2
Q63965
Q6AY56
Q5U1Y0
Q5QSK2
Q63610
Q62769
Q5XHY3
P08541
Q6J1Y9
Q9Z270
Q6QZQ4
Q9R1S4
Q9EPU7
Q5BJU7
Q8R478
Q9JMK8
Q9JKR5
P31424
Q63661
Q4KLH3
Q5XIG4
A0A0G2K6Z9
B1H228
P33535
B0BLS0
P33533
Q2L4T2
Q5PR01
Q6RUV5
P51156
P35281
F1LQX4
P62282
P63174
Q4V899
Q9JKU1
D3ZQG6
Q5FVF4
Q5XI41
Q5M7W1
Q5D006
P56572
P97830
P62329
Q4QQV1
Q5U300
O35757
B5DFN3
P0C0A2
O08700
Q6P6G5
Q8CJD3
P60901
Q64604
Q9JHJ1
Q9JJ73
Q4FZZ1
Q66H68
P05714
P10536
P62425
Q6SA80
O88779
Q5U2W9
Q5XI59
Q8CGS5
Q66HG0
Q63744
O54963
Q8CFC1
P62859
P46720
Q9QX78
O88583
Q9WU11
Q9WV48
Q8K1P7
Q63532
Q5EBA3
Q5XIA2
P98166
P62916
Q80X08
Q63302
P83888
Q6MFY8
P16257
Q920J4
P53767
Q9Z2J5
Q9ESZ0
Q7TPK6
B5DEQ3
B5DEK8
P70555
Q9JHF3
Q63713
P36860
Q66HG8
P42854
Q498C8
P49799
D4AAZ6
Q6P9V9
Q6AYJ3
B0BN28
Q67ES3
P22789
Q9Z2Q7
P12346
B0LT89
P36394
Q8R424
P13086
Q5M877
Q7TNZ6
Q6QGW5
Q4FZT8
P09139
Q3C2P8
P04917
P15178
Q505J8
D3ZZN9
Q3KRD0
P0C627
Q9R1B1
Q6MG64
Q6I7R5
Q642B6
P97615
Q5XIE1
Q09030
P20289
Q9JIH7
P0C0A1
O88553
Q5RKH6
P63055
Q4QQS8
O54735
P41413
P57093
Q9QZC4
P10361
P04073
P31044
P54777
P10687
Q9QW07
Q6P742
Q66H88
Q5RJM1
P21996
P11248
Q6AXY7
Q6IN01
P37230
P0C089
Q5XI28
O88869
P51146
Q5U1Y1
Q5XI60
P25031
P01347
Q6AYK1
P47709
P00684
Q920M2
Q68H95
Q8VD88
Q5XIL3
Q4L0E8
P49797
P49804
Q62866
Q5FVJ0
Q5XI37
Q9WUW9
P63164
P48303
P47752
Q9JKM5
Q9Z2J9
Q63089
Q4QR80
Q9R0W2
O88446
Q9R141
O70594
O35956
Q5RLM2
Q9R1U7
Q3ZAV1
Q05343
P49743
Q9QZG1
Q4G055
Q8VHV8
Q499V8
Q9Z1C8
Q5M929
D4A723
P04256
O55006
Q63132
Q920L2
P37089
Q5I0E9
Q6AXR5
B0BNF1
Q91ZR7
P37091
P21913
Q5XIJ9
Q5RJZ6
Q6R556
Q9R0C9
P82450
O70437
Q99P55
Q920M9
O54861
Q9JLS4
Q9R1V3
Q8R4T2
Q5U311
P13839
O88406
Q6AXX1
Q3SWT1
O54835
A0MZ67
Q5FVP2
B5DF21
O35750
P13721
Q642G2
Q7TPF1
Q701R3
Q9R1U5
Q02734
Q99P67
Q68G12
P50878
Q5XIE3
Q99PD2
P45446
Q62674
Q9WVC1
Q8R4U9
Q5U4F0
O08815
Q8R496
P97588
Q5PQN6
Q63624
O70436
Q6TXG9
P84551
Q7TP36
Q5PQP5
P17074
Q3MHT3
Q07977
Q6ZXC8
Q63673
P97573
Q9WVR3
P0C5J9
P30823
P26431
P62909
P38983
Q499P8
Q9JK11
D3ZCL3
P55016
Q5QD25
Q80ZA5
Q498U4
D3ZUM2
P26260
Q5BJL5
D4A5U3
Q99041
Q63396
P24155
P19814
P28480
Q7M730
P15390
P0C6B1
Q5EB62
Q924A5
Q9JLU4
Q6AYS6
Q5M869
Q6AYZ1
Q6AXN6
O35094
P61765
D4AB66
O70257
Q5XIF4
P63043
P61959
P52632
P58405
P23739
Q5XIG8
Q497B2
P62078
Q6AYB5
Q02563
Q91V26
Q76HP2
Q9JKE7
Q63801
P97610
P21775
P23606
Q5XI00
Q68FX7
Q9QXQ7
Q810W9
Q6IN38
O55145
Q6IN36
Q9Z0G8
Q673L6
Q6AY57
Q6P502
Q2LAP6
Q63802
P24329
Q4QR99
Q5U2Y6
Q6P6V7
Q5U208
Q5PPP3
O35092
Q6AY86
O35548
Q6JAM9
Q4V8K3
P23265
O70249
Q68FY1
P49654
Q3B7D8
Q64201
P07379
P70708
Q9HB97
Q6AYT4
Q56A20
Q63085
Q62865
P14644
Q5M865
Q5XIL2
Q4V8A1
E9PSU6
Q6IE70
Q765A7
Q7TNZ5
Q4V7A6
P55043
O08654
P08644
Q62796
Q4KMA2
O35509
P23640
Q99P74
Q499V3
P80250
P06765
Q6MFY6
