Q10014
P50439
Q11115
Q11181
Q18964
Q09301
Q03606
Q11077
Q10004
P34587
Q23652
P91343
Q22544
P34307
O16686
Q03564
P34261
Q11083
Q10933
Q8TA81
Q17865
P34674
Q23570
Q23469
Q09257
Q20082
Q09355
P46499
Q8MYQ1
O01735
Q10020
Q10008
P41844
P53015
G5EDQ9
P34625
Q22835
Q09575
P34501
Q11084
Q11086
Q10958
Q09947
Q11081
Q10049
P34504
Q11191
Q09284
P46504
Q8WT51
Q10017
Q23525
Q19191
G5EGF8
Q22285
Q20086
P27715
Q10658
Q17750
Q7JKC3
P34423
P34557
Q09283
Q09356
Q19673
Q5FC62
Q10046
P34889
Q9N2Z7
Q09461
Q93847
Q2WF59
Q09220
Q09223
Q09224
Q09243
P34651
Q09571
Q93834
P34392
P54813
Q9XW79
Q19258
O44572
P34586
P91430
Q22271
P0CG71
P52478
G5EDS1
O01513
P34664
Q19005
P30629
Q09343
Q09294
P41993
Q09280
Q09202
Q09269
P34584
Q93408
P34396
P34457
P41949
Q9NEU3
Q03604
Q09533
P91478
Q17374
Q21166
Q9XU75
P46975
P34703
Q9XVI6
O16925
P46506
O16927
O02482
O62431
C0HKD6
Q9N358
P46550
Q9U2C9
Q22289
G5EFV8
P46566
Q95Y04
Q9TXP0
P34659
Q93575
Q4W4Z2
G5EBY0
Q9BLB6
Q9NEW6
Q9XWV5
G5EEM6
G4SDH4
O76411
G5ED39
Q20010
Q9NEU2
P50605
Q93794
Q93646
O76689
Q09344
O16444
Q21767
Q18425
P54127
G5EF96
P29506
Q19584
Q19713
Q23122
O45700
O45941
A8WHT1
O45241
Q9XUN9
Q23049
Q22288
Q09462
Q11180
Q20256
P30628
P41846
P34766
Q17435
Q18268
Q9N2V9
G5EBV6
O17405
O62146
P34331
G5EFI8
P52057
Q22993
O45657
Q21534
P34429
Q09417
Q19537
Q22472
O76512
Q9XTT9
P34649
P34369
Q10124
O76371
Q95005
Q20757
Q18115
G5EG78
Q9U3P2
O45433
P46568
Q03575
P91302
O17389
Q94218
Q19203
O01393
Q21633
Q20585
Q18211
Q9U3N5
Q9N3F0
Q17606
P34578
Q5DX34
Q69Z08
O17213
P91318
Q19532
G5EEG7
Q03566
O17679
Q95PJ8
Q20035
Q20024
P90761
P53596
Q18864
Q20822
Q19549
Q09209
Q22236
O18175
P34183
P19826
Q09215
Q09549
O01514
Q10667
H2KZ60
Q18806
P34560
Q17684
P34476
Q10955
O17956
P46571
Q95ZY2
P91211
O01608
O17582
O17822
O62269
Q18955
Q09572
Q09213
Q17413
P46567
Q95XQ1
O17608
Q10941
Q22180
Q20745
O01761
Q9XW92
Q09230
Q23449
O61742
Q27389
Q9U332
Q9N4A7
Q9XWJ1
Q20481
Q18240
O17699
Q19509
O61898
P91536
Q19061
O62267
Q09646
Q9BI88
Q9XWF6
Q09349
Q09444
G5EGU9
Q9U3H8
Q9TZL0
P03934
Q9NAH2
H2KZM9
G5EEV2
Q09274
Q19910
Q09476
P34213
Q09309
P48158
O45946
P49632
Q9U6P6
Q22037
Q9TYY7
Q10579
Q7YWN4
P34274
Q21265
P30635
Q17745
O45923
P34661
Q9TXV7
Q9N2W5
Q23088
D9N129
Q09464
Q95R14
Q93591
C6KRL6
P34572
Q09475
Q09244
Q09245
P52880
Q86DA7
Q21890
Q23490
Q17819
G5EDE5
O44480
P52819
P54129
P46565
G5EDN3
Q93971
Q21190
Q9N5D6
Q09275
Q10038
Q93196
Q21874
Q10012
Q11070
O17811
Q10009
Q10032
P41994
P34356
P49041
Q20480
P91868
Q9XWW1
P34351
Q965Q4
P34374
O45539
P52274
Q23387
O01323
Q18685
Q19360
B3CKG1
Q23194
Q9NA26
Q09449
O62275
O01839
Q09458
Q18245
P52882
P34256
P46553
Q10123
P48458
P34668
Q09952
Q09618
Q09662
P34469
Q18919
Q9N4I4
Q9XVF7
Q9U2A8
P91856
Q11099
G5EG17
O01789
Q9XWS0
Q19337
Q22992
Q09265
Q20411
Q19550
Q09206
P91240
Q9Y0V6
O17819
Q966L5
O01538
P46572
Q22708
Q9U3R0
O45944
P52484
Q9N4G7
O01901
P91910
P32085
Q9GYF1
Q11187
Q09604
Q21752
Q23232
Q09337
Q18416
