Q08172
P34224
Q04215
Q3E843
Q08954
P53749
P32912
Q12241
P38276
Q03935
P38730
P0CY00
P0C2J4
Q12130
P53144
P25617
P0CX99
P38280
P0C5M1
Q04608
Q12458
Q07746
Q06325
Q08748
Q99260
P40517
Q99248
P0CX58
Q8TGQ7
P53980
Q02754
P0CX69
Q12414
P0C269
O13578
Q8TGK0
Q3E7A3
P0CY03
P40538
P35736
P53316
P43590
P53071
P38070
P38555
Q08270
P0CF19
Q07589
Q12324
Q12282
Q06089
P53169
P40017
P38142
Q06689
Q3E813
Q6Q5P6
Q12244
Q45U18
P43622
Q12485
Q3E796
P12688
Q04033
Q12012
Q99326
Q12298
Q12484
Q04893
Q02872
P42844
Q05016
Q8TGJ2
P36158
Q12512
P32804
Q12436
P43578
Q02864
Q05898
P34249
P33324
Q12259
P53039
P40543
P47100
Q3E742
P38727
P0C5P6
P47023
Q3E834
P00942
Q12272
P40552
Q05024
Q12059
Q12151
Q12208
Q92331
P38220
O13511
P38749
Q8TGU8
P0CE98
Q8TGT0
P36025
Q03695
P38290
P34247
P40362
P50111
P36018
Q06679
P38735
P42826
P53912
P53910
Q03897
Q08990
P40105
Q12024
P53963
P38306
Q12177
Q99208
P28320
P47157
Q07927
P0C2I5
P53061
P0C2J0
Q2V2P0
Q3E760
Q12079
P53891
P47033
P32901
P38709
Q06685
P39548
P47174
P47152
P36111
Q07950
P38809
P40028
P38835
Q3E739
P53110
Q03362
Q12085
P40095
P53074
P43538
Q3E750
Q07454
Q99231
P0C289
P53723
Q04711
P41920
Q03390
P25383
Q3E794
Q05881
Q05899
P32792
P47048
P38721
P39971
Q07451
P50089
P42936
Q2V2Q0
P0C2I2
Q12082
P0C2I3
P33199
P0CX65
P40341
Q8TGS1
P53757
Q3E807
P53740
P0C5S1
P47116
Q12318
P00128
Q05131
Q08096
Q04231
P38127
P38741
P25560
Q99188
P38222
P04449
P0CX41
P39677
P0CX82
P05744
O13516
P0CX38
P39723
P47008
Q05937
P53312
P41930
Q6WNK7
P35210
P11972
P38839
P35177
P33894
P38985
P25515
P23255
Q05021
P32774
Q12052
P47183
P43534
P46678
P40340
Q06708
P32606
P38958
P20051
P0C2H9
P0CX29
P33442
Q12330
P25343
O14464
Q12108
P40084
P53289
Q06488
Q07794
P32915
P39735
P40090
P53324
P28707
P35179
P45978
P03882
P03877
P52871
P36145
P32368
Q04003
P32564
P16120
P53969
P06105
Q04675
Q00416
P06701
Q03954
P33419
P32568
P38128
P33328
P31109
P17123
P40342
P15732
P38254
P22803
Q03337
P52491
P47142
Q03028
P28273
P39545
P36102
P40335
Q04364
P00560
Q08273
P42836
P40530
Q06892
P38197
Q12236
P38218
Q05778
Q12090
Q07951
P35182
Q03760
Q08237
P40339
P39083
P40395
P22336
P40188
P40043
P53633
P03872
P38630
Q01939
P39682
P33334
P40327
P38148
Q07800
Q9ZZW3
P50896
P37299
P32628
P38088
P32319
Q08579
P34111
P33339
P32772
Q12063
Q02724
P26370
P43593
Q06137
Q07807
P36081
P22289
P47148
Q9ZZX7
P33323
Q12211
P15380
P02406
P14063
P39975
P43620
P25303
P38330
P53140
P22139
Q07915
P25299
P32565
Q04740
Q12338
Q12754
Q02651
Q07829
Q08219
P01098
P0CX51
P38701
Q3E754
P39990
Q06091
P36024
Q12306
Q04195
P38956
P33335
Q06168
P35207
P38343
Q08581
Q04172
Q05676
P22213
P36124
P37296
P35169
P38960
P46676
Q07478
P54000
P32342
P53866
P06843
P53032
P46679
P35184
P38699
P36085
P50104
Q03322
Q12038
P25567
P43554
P20049
P53142
Q12317
Q05473
P32833
Q12066
P32641
P38344
Q00246
P53879
Q06624
P29539
Q03778
P47006
P47076
Q02555
P46669
P02381
P32561
Q01080
Q03441
P20434
Q12508
P07703
Q99258
P36048
Q03067
P38904
Q03029
P06783
Q03497
P53541
P36126
Q04921
P26637
P46655
P34223
P46670
P35691
P36142
P41814
Q12199
P23254
P32600
P25372
P38237
Q01477
O13565
P0CF16
P23643
P36166
P07259
P48567
P34230
Q08904
P0CX37
P35997
P42941
Q08230
Q3E785
P43544
P25808
Q04477
P36094
P47154
Q03707
P50088
P32603
Q99176
P38871
P08425
P11325
Q12104
P53873
Q12254
P38869
Q06677
P29340
Q08282
P53950
P42883
P32776
Q03290
P39904
P47988
P47030
Q99190
P17536
P46959
Q07381
P32571
P34220
Q2V2Q3
P40022
Q12288
P21651
P38623
Q03713
P25454
P36105
P21524
P05749
P24000
P36521
P53118
Q08774
P25368
Q08162
Q06506
P40485
P53955
P53135
Q08817
P05756
P54867
P39516
P38854
P32773
P29509
P32893
P46944
P25037
P40003
P22147
Q05919
P53908
P0CX14
P0CX21
P53819
P30822
P53241
D6VPM8
P38740
Q05863
P0C5P0
P40579
P40058
Q07834
Q8TGJ7
P53151
P0C5P2
Q06247
P32616
Q8TGT9
Q8TGT7
Q12269
P0CX67
P48568
P36157
P21339
Q12467
P20967
P38755
P50874
P38155
A0A0B7P221
P21538
P07276
Q00245
P38145
P49723
P0CX83
P0CX47
P31688
P40061
P0C0V2
P48836
P34110
P40560
Q3E837
Q8TGN3
P38833
P43617
P28625
P25630
Q03049
P0CX61
Q04925
P53278
P53229
P25350
P25608
Q08634
Q03205
Q92393
Q08816
Q06813
P28519
P38622
Q03956
Q08760
P38086
P06780
Q03691
Q03792
P23369
P38206
P38192
P41058
P14359
P36167
P32343
P32613
P38739
Q06490
Q07904
Q02457
P39079
P53874
P36026
